School_group,Major_cat,School,Major,Year,Gender,Age,Close_friend,Closefriend_inout,GPAX,Rate,Health_status,Health_status_iden,Family_type,Recieve_care,Recieve_care_other,Family_income,Family_income_enough,Studen_income,Student_income_enough,Dormitory,Relation_fam,Relation_friend,Relation_aj,Feel_uni_1,Feel_uni_2,Feel_uni_3,Feel_uni_4,Feel_uni_5,Feel_uni_6,Feel_envi_7,Feel_envi_8,Feel_envi_9,Feel_envi_10,Feel_envi_11,Feel_envi_12,Feel_envi_13,Feel_envi_14,Relax_activity,Problem,Problem_study,Problem_love,Problem_adjust,Problem_econ,Problem_other,Attitude,Attitude_iden,Learning_style_1,Learning_style_2,Learning_style_3,Learning_style_4,Learning_style_5,Learning_style_6,Learning_style_7,Learning_style_8,Learning_style_9,Learning_style_10,Learning_style_11,Learning_style_12,Learning_style_13,Learning_style_14,Learning_style_15,Learning_style_16,Learning_style_17,Learning_style_18,Learning_style_19,Learning_style_20,Learning_style_21,Learning_style_22,Learning_style_23,Learning_style_24,Learning_style_25,Learning_style_26,Learning_style_27,Learning_style_28,Learning_style_29,Learning_style_30
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,4,1,21,1,2,3.3,B,2,ไทรอยด์ต่ำ,2,1,,20000,2,6500,1,2,3,0,0,1,0,1,0,1,0,4,4,0,5,4,2,5,5,#NULL!,1,1,0,1,0,0,1,,4,2,2,3,2,3,4,4,1,4,3,4,4,3,3,4,4,5,3,3,2,4,3,5,2,3,3,3,4,3
1,2,นวัตกรรมสังคม,พัฒนาระหว่างประเทศ,4,1,22,5,1,3.29,B,1,,2,1,,100000,1,10000,1,1,4,4,2,3,-5,3,1,4,4,2,0,-5,2,2,2,3,3,#NULL!,1,0,0,0,0,0,2,,4,4,2,2,2,4,4,4,4,3,4,5,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4
1,2,นวัตกรรมสังคม,พัฒนาระหว่างประเทศ,4,1,22,5,1,3.29,B,1,,2,1,,100000,1,10000,1,1,5,4,1,3,-5,3,0,3,4,3,2,-1,2,2,1,3,3,#NULL!,0,0,0,0,0,0,2,ชอบความกว้างของสาขาที่เรียน,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,2,นวัตกรรมสังคม,วิชาการพัฒนาระหว่างประเทศ,2,1,19,2,1,3.27,B,1,,2,1,,999,3,4000,1,1,5,4,3,4,3,4,5,5,5,1,0,3,5,4,4,5,5,#NULL!,1,0,0,0,0,1,2,เป็นสายการเรียนที่ชอบ สามารถเเสดงความคิดเห็นและแลกเปลี่ยนความคิดเห็นได้,4,5,3,3,3,3,4,5,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,3,4,4,3,3,3,4
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,4,1,23,1,1,3.26,B,1,,2,1,,999,1,999,1,2,5,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,#NULL!,0,0,0,0,0,0,1,,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,4,3,4,4,4,4
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,2,0,19,4,1,3.25,B,1,,2,1,,10000,2,4500,2,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,#NULL!,1,0,0,1,1,0,2,สนใจในด้านนี้,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,2,0,19,3,1,3.25,B,1,,2,1,,30000,2,4000,2,2,5,4,4,4,1,3,3,5,3,5,4,4,4,3,5,5,5,#NULL!,1,0,0,0,1,0,2,เนื้อหาดี ตรงกับความต้องการ,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,4,0,21,1,1,3.25,B,1,,2,3,,999,3,4000,1,1,4,4,2,4,3,3,1,3,0,3,3,0,3,-3,3,3,3,#NULL!,1,1,1,1,0,0,0,,3,3,3,3,3,3,4,3,4,1,4,3,3,2,4,3,3,3,3,4,3,3,3,2,2,2,3,4,2,5
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,4,1,22,5,1,3.25,B,1,,1,1,,15000,1,6000,1,2,4,3,2,5,2,1,1,2,2,3,3,3,3,3,3,3,3,#NULL!,1,0,0,0,1,0,2,อาจารย์ มอบความรู้ให้เยอะ,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,2,นวัตกรรมสังคม,การพัฒนาระหว่างประเทศ,4,1,21,3,1,3.25,B,1,,1,2,,40000,1,10000,1,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,#NULL!,0,0,0,0,0,0,2,สอนให้คิดใหม่ๆ,4,5,4,2,4,4,3,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,2,2,4,4
